,0
Romeo and Juliet (Tchaikovsky),19.0
Scheherazade,16.0
Mahler 5,14.0
Firebird,12.0
Rachmaninoff 2 (symphony),12.0
Beethoven 3,10.0
Sibelius 2,10.0
Beethoven 7,7.0
Tchaikovsky 5,7.0
Tchaikovsky 6,7.0
Unnamed: ,0.0
