,0
Scheherazade,9.0
Rachmaninoff 2 (symphony),8.0
Firebird,6.0
Mahler 5,4.0
Tchaikovsky 5,4.0
Sibelius 2,4.0
Beethoven 7,2.0
Tchaikovsky 6,2.0
Beethoven 3,1.0
Romeo and Juliet (Tchaikovsky),1.0
Unnamed: ,0.0
