,0
Scheherazade,39.0
Rachmaninoff 2 (symphony),31.0
Romeo and Juliet (Tchaikovsky),29.0
Mahler 5,28.0
Firebird,27.0
Sibelius 2,22.0
Tchaikovsky 5,17.0
Beethoven 3,14.0
Tchaikovsky 6,14.0
Beethoven 7,12.0
Unnamed: ,0.0
